Track Name,Artists,Album Cover URL
Sk8er Boi,Avril Lavigne,https://i.scdn.co/image/ab67616d0000b2736836425e4ddb2249bd1431f1
Combustion,Meshuggah,https://i.scdn.co/image/ab67616d0000b27357669e4d1c2825c21a60fb84
Sonnet,The Verve,https://i.scdn.co/image/ab67616d0000b273707d13d3f87652e737e94d45
Feeling Good,Muse,https://i.scdn.co/image/ab67616d0000b2735225e9931a558f6d2f541a7d
Crazy In Love,Snow Patrol,https://i.scdn.co/image/ab67616d0000b27309e243a09405dcfc10de9935
You Spin Me Round (Like a Record),Dead Or Alive,https://i.scdn.co/image/ab67616d0000b273bd0c47e4cfb4ee327e53bc73
Hunter,Dido,https://i.scdn.co/image/ab67616d0000b2733e5cbf3b3ac5905cb68377d5
Life for Rent,Dido,https://i.scdn.co/image/ab67616d0000b273d41b79f27ef8d8df5a191219
White Flag,Dido,https://i.scdn.co/image/ab67616d0000b273d41b79f27ef8d8df5a191219
Here With Me,Dido,https://i.scdn.co/image/ab67616d0000b2733e5cbf3b3ac5905cb68377d5
Demiurge,Meshuggah,https://i.scdn.co/image/ab67616d0000b27354eb78edf5f8a6d66c1d2f7e
Sleep,John Frusciante,https://i.scdn.co/image/ab67616d0000b273b18ea5b5718406a1697d1e14
Who Can It Be Now?,Men At Work,https://i.scdn.co/image/ab67616d0000b273aa5e4c9da271951ac0b31fa2
"For Emily, Whenever I May Find Her - Live in St. Louis, MO - November 1969",Simon & Garfunkel,https://i.scdn.co/image/ab67616d0000b2739a8a66a79fbf93928f897c9b
Footsteps,Pearl Jam,https://i.scdn.co/image/ab67616d0000b2738df1fdc14be33eb2c991d60f
Breakfast At Tiffany's,Deep Blue Something,https://i.scdn.co/image/ab67616d0000b273038f8fad2f75b637f1c9aef5
Sum,John Frusciante,https://i.scdn.co/image/ab67616d0000b273debfbae473f3d557cd5d74d9
Uprane,John Frusciante,https://i.scdn.co/image/ab67616d0000b273debfbae473f3d557cd5d74d9
Boys Don't Cry,The Cure,https://i.scdn.co/image/ab67616d0000b273ca40908d43a2a80fb34de8a3
Say Hello 2 Heaven,Temple Of The Dog,https://i.scdn.co/image/ab67616d0000b273483c3d93af76b1f635f9dc7d
The Slaughter,John Frusciante,https://i.scdn.co/image/ab67616d0000b273170c1534eab1173ca18982ed
Trippin' on a Hole in a Paper Heart,Stone Temple Pilots,https://i.scdn.co/image/ab67616d0000b27360a8e6e611fd351815ae9b11
Lumberjack,Serum,https://i.scdn.co/image/ab67616d0000b273555679f571f590cd9493f743
Come Together,"Urbandawn, Tyson Kelly",https://i.scdn.co/image/ab67616d0000b27366374fc78361eac0e11c5345
Head Over Heels,Tears For Fears,https://i.scdn.co/image/ab67616d0000b273a9fac36898dc1302b5f642b3
Drive,Incubus,https://i.scdn.co/image/ab67616d0000b27374fad40214d982351347e46e
Save It For Later,Eddie Vedder,https://i.scdn.co/image/ab67616d0000b2735af7982c610a1486553a47f5
TAKE ME AWAY,"Rooler, Sickmode, Paul Elstak",https://i.scdn.co/image/ab67616d0000b2736a919724bc63257935dc9245
Given Up,Linkin Park,https://i.scdn.co/image/ab67616d0000b2736e996745f2c7b8036abef213
How Deep Is Your Love,Bee Gees,https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7
Unreachable,John Frusciante,https://i.scdn.co/image/ab67616d0000b273833104647f596f77a3a6aa5f
Central,John Frusciante,https://i.scdn.co/image/ab67616d0000b273833104647f596f77a3a6aa5f
Dead End Friends,Them Crooked Vultures,https://i.scdn.co/image/ab67616d0000b2737355bb17937d57983e09f9f9
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,https://i.scdn.co/image/ab67616d0000b273ada101c2e9e97feb8fae37a9
Wishing,John Frusciante,https://i.scdn.co/image/ab67616d0000b27316f2f88d46c320334011dc25
Descent,Fear Factory,https://i.scdn.co/image/ab67616d0000b273f9e09d72150cd35e050b05bd
Edgecrusher,Fear Factory,https://i.scdn.co/image/ab67616d0000b273f9e09d72150cd35e050b05bd
Flashpoint - Chosen Few Mix,Fear Factory,https://i.scdn.co/image/ab67616d0000b2739f588bbc502030c9dbfc7b1b
Machines of Hate,Fear Factory,https://i.scdn.co/image/ab67616d0000b2739f588bbc502030c9dbfc7b1b
T-1000,Fear Factory,https://i.scdn.co/image/ab67616d0000b2739f588bbc502030c9dbfc7b1b
Transgenic,Fear Factory,https://i.scdn.co/image/ab67616d0000b2739f588bbc502030c9dbfc7b1b
New Breed - Spoetnik Mix,Fear Factory,https://i.scdn.co/image/ab67616d0000b2739f588bbc502030c9dbfc7b1b
Iconoclast,"Decapitated, Machine Head",https://i.scdn.co/image/ab67616d0000b273d56740e2ec7b9e2f2b1034b6
Pride,Damageplan,https://i.scdn.co/image/ab67616d0000b27339230c2232fd9b57b1bbc70d
Cars - Remix,Fear Factory,https://i.scdn.co/image/ab67616d0000b27356a4f2d77e9595a037c4874e
Descent,Fear Factory,https://i.scdn.co/image/ab67616d0000b27356a4f2d77e9595a037c4874e
Game Over,Machine Head,https://i.scdn.co/image/ab67616d0000b27359160b2170f8e3acf85371b5
Mr. Highway's Thinking About The End,A Day To Remember,https://i.scdn.co/image/ab67616d0000b2730b02af77159866fe3e011c76
Laid to Rest,Lamb of God,https://i.scdn.co/image/ab67616d0000b2738f5b754451ee8f8caaf5375b
Citizen Erased,Muse,https://i.scdn.co/image/ab67616d0000b2735225e9931a558f6d2f541a7d
Road Trippin' (Arr. for Guitar),"Anthony Kiedis, John Frusciante, Chad Smith, Michael Balzary, Arlo Vega",https://i.scdn.co/image/ab67616d0000b273c08c08fca05af686cf8d9f4e
A Little Bit of Sanity,Flea,https://i.scdn.co/image/ab67616d0000b273fbf31b88d570149278959081
Pedestal of Infamy,Flea,https://i.scdn.co/image/ab67616d0000b273fbf31b88d570149278959081
Blacklist,Exodus,https://i.scdn.co/image/ab67616d0000b273378c4ee63d4511e43d0398b8
